List of countries by total area

https://simple.wikipedia.org/wiki/List_of_countries_by_area

This is a list of countries by total area. The total area is the sum of all land and Inland water bodies (lakes, reservoirs, rivers). Data is taken from the United Nations Statistics Division.

1 	Russia 	17,098,246 (6,601,670)
2 	Canada 	9,984,670 (3,855,100)
3 	China 	9,596,961 (3,705,407)
4 	United States 	9,525,067 (3,677,649)
5 	Brazil 	8,515,767 (3,287,956)
6 	Australia 	7,692,024 (2,969,907)
7 	India 	3,287,263 (1,269,219)
8 	Argentina 	2,780,400 (1,073,500)
9 	Kazakhstan 	2,724,900 (1,052,100)
10 	Algeria 	2,381,741 (919,595)
11 	Democratic Republic of the Congo 	2,344,858 (905,355)
– 	Denmark 	2,220,093 (857,183)
– 	Greenland (Denmark) 	2,166,086 (836,330)
12 	Saudi Arabia 	2,149,690 (830,000)
13 	Mexico 	1,964,375 (758,449)
14 	Indonesia 	1,910,931 (737,815)
15 	Sudan 	1,861,484 (718,723)
16 	Libya 	1,759,540 (679,360)
17 	Iran 	1,648,195 (636,372)
18 	Mongolia 	1,564,110 (603,910)
19 	Peru 	1,285,216 (496,225)
20 	Chad 	1,284,000 (496,000)
21 	Niger 	1,267,000 (489,000)
22 	Angola 	1,246,700 (481,400)
23 	Mali 	1,240,192 (478,841)
24 	South Africa 	1,221,037 (471,445)
25 	Colombia 	1,141,748 (440,831)
26 	Ethiopia 	1,104,300 (426,400)
27 	Bolivia 	1,098,581 (424,164)
28 	Mauritania 	1,030,700 (398,000)
29 	Egypt 	1,002,450 (387,050)
30 	Tanzania 	945,087 (364,900)
31 	Nigeria 	923,768 (356,669)
32 	Venezuela 	916,445 (353,841)
33 	Pakistan 	907,132 (350,246)
34 	Namibia 	825,615 (318,772)
35 	Mozambique 	801,590 (309,500)
36 	Turkey 	783,562 (302,535)
37 	Chile 	756,102 (291,933)
38 	Zambia 	752,612 (290,585)
39 	Myanmar 	676,578 (261,228)
40 	Afghanistan 	652,230 (251,830)
41 	South Sudan 	644,329 (248,777)
42 	France 	640,679 (247,368)
43 	Somalia 	637,657 (246,201)
44 	Central African Republic 	622,984 (240,535)
45 	Ukraine 	603,500 (233,000)
46 	Madagascar 	587,041 (226,658)
47 	Botswana 	581,730 (224,610)
48 	Kenya 	580,367 (224,081)
– 	France 	543,940 (210,020)
49 	Yemen 	527,968 (203,850)
50 	Thailand 	513,120 (198,120)
51 	Spain 	505,992 (195,365)
52 	Turkmenistan 	488,100 (188,500)
53 	Cameroon 	475,442 (183,569)
54 	Papua New Guinea 	462,840 (178,700)
55 	Sweden 	450,295 (173,860)
56 	Uzbekistan 	447,400 (172,700)
57 	Morocco 	446,550 (172,410)
58 	Iraq 	438,317 (169,235)
59 	Paraguay 	406,752 (157,048)
60 	Zimbabwe 	390,757 (150,872)
61 	Japan 	377,975 (145,937)
62 	Germany 	357,114 (137,882)
63 	Republic of the Congo 	342,000 (132,000)
64 	Finland 	338,424 (130,666)
65 	Vietnam 	331,212 (127,882)
66 	Malaysia 	330,803 (127,724)
67 	Norway 	323,802 (125,021)
68 	Ivory Coast 	322,463 (124,504)
69 	Poland 	312,696 (120,733)
70 	Oman 	309,500 (119,500)
71 	Italy 	301,339 (116,348)
72 	Philippines 	300,000 (120,000)
73 	Ecuador 	276,841 (106,889)
74 	Burkina Faso 	274,222 (105,878)
75 	New Zealand 	262,443 (101,330)
76 	Gabon 	267,668 (103,347)
– 	Sahrawi Arab Democratic Republic 	266,000 (103,000)
77 	Guinea 	245,857 (94,926)
78 	United Kingdom 	242,495 (93,628)
79 	Uganda 	241,550 (93,260)
80 	Ghana 	238,533 (92,098)
81 	Romania 	238,397 (92,046)
82 	Laos 	236,800 (91,400)
83 	Guyana 	214,969 (83,000)
84 	Belarus 	207,600 (80,200)
85 	Kyrgyzstan 	199,951 (77,202)
86 	Senegal 	196,722 (75,955)
87 	Syria 	185,180 (71,500)
88 	Cambodia 	181,035 (69,898)
89 	Uruguay 	176,215 (68,037)
– 	Somaliland 	176,120 (68,000)
90 	Suriname 	163,820 (63,250)
