COUNTRY,YEAR,MONTH,TEMP_MEAN,HEAT_DAYS
Belgium,2000,1,5.281612903225804,2.0
Belgium,2000,2,8.422413793103448,0.0
Belgium,2000,3,10.112258064516128,2.0
Belgium,2000,4,14.075999999999997,4.0
Belgium,2000,5,18.717419354838714,6.0
Belgium,2000,6,20.826999999999998,3.0
Belgium,2000,7,19.336451612903225,0.0
Belgium,2000,8,22.593870967741932,0.0
Belgium,2000,9,19.70633333333334,2.0
Belgium,2000,10,14.20225806451613,0.0
Belgium,2000,11,9.384666666666668,0.0
Belgium,2000,12,6.6248387096774195,11.0
Belgium,2001,1,4.769354838709678,0.0
Belgium,2001,2,6.841785714285715,5.0
Belgium,2001,3,9.189677419354839,0.0
Belgium,2001,4,11.220333333333333,0.0
Belgium,2001,5,18.77709677419355,4.0
Belgium,2001,6,19.099999999999998,0.0
Belgium,2001,7,22.580322580645163,0.0
Belgium,2001,8,22.926451612903218,6.0
Belgium,2001,9,16.431666666666665,0.0
Belgium,2001,10,17.267419354838708,4.0
Belgium,2001,11,8.786,0.0
Belgium,2001,12,4.103548387096774,2.0
Belgium,2002,1,5.250645161290323,5.0
Belgium,2002,2,8.977857142857143,5.0
Belgium,2002,3,10.829032258064515,0.0
Belgium,2002,4,13.71233333333333,0.0
Belgium,2002,5,17.13903225806452,2.0
Belgium,2002,6,21.095000000000002,2.0
Belgium,2002,7,21.82967741935484,3.0
Belgium,2002,8,22.484516129032258,4.0
Belgium,2002,9,18.814333333333327,0.0
Belgium,2002,10,14.090645161290322,0.0
Belgium,2002,11,10.602666666666666,3.0
Belgium,2002,12,5.664193548387096,4.0
Belgium,2003,1,3.9812903225806444,2.0
Belgium,2003,2,5.4125,2.0
Belgium,2003,3,12.39709677419355,8.0
Belgium,2003,4,14.320000000000002,6.0
Belgium,2003,5,17.513548387096776,3.0
Belgium,2003,6,23.226000000000003,0.0
Belgium,2003,7,23.088064516129037,2.0
Belgium,2003,8,24.726451612903226,11.0
Belgium,2003,9,20.273666666666667,7.0
Belgium,2003,10,12.089354838709676,0.0
Belgium,2003,11,10.422333333333333,2.0
Belgium,2003,12,5.716451612903226,0.0
Belgium,2004,1,4.901935483870967,0.0
Belgium,2004,2,7.051379310344827,6.0
Belgium,2004,3,9.544838709677418,5.0
Belgium,2004,4,14.41233333333333,2.0
Belgium,2004,5,17.051935483870967,0.0
Belgium,2004,6,20.175000000000004,2.0
Belgium,2004,7,21.49161290322581,0.0
Belgium,2004,8,22.643870967741936,2.0
Belgium,2004,9,19.984333333333332,7.0
Belgium,2004,10,15.318387096774192,0.0
Belgium,2004,11,8.73033333333333,0.0
Belgium,2004,12,4.5680645161290325,0.0
Belgium,2005,1,6.4309677419354845,2.0
Belgium,2005,2,4.725714285714285,0.0
Belgium,2005,3,10.341935483870971,9.0
Belgium,2005,4,14.107666666666667,0.0
Belgium,2005,5,17.386451612903226,3.0
Belgium,2005,6,22.131999999999994,10.0
Belgium,2005,7,22.336774193548386,0.0
Belgium,2005,8,21.11064516129032,0.0
Belgium,2005,9,20.892,8.0
Belgium,2005,10,18.33161290322581,12.0
Belgium,2005,11,8.464333333333336,6.0
Belgium,2005,12,5.06741935483871,0.0
Belgium,2006,1,3.2916129032258064,0.0
Belgium,2006,2,4.415357142857142,0.0
Belgium,2006,3,8.041935483870969,2.0
Belgium,2006,4,13.251333333333333,2.0
Belgium,2006,5,17.99193548387097,0.0
Belgium,2006,6,21.324999999999996,4.0
Belgium,2006,7,27.129677419354838,16.0
Belgium,2006,8,19.943870967741933,0.0
Belgium,2006,9,22.64133333333333,11.0
Belgium,2006,10,17.467741935483875,3.0
Belgium,2006,11,11.552999999999999,4.0
Belgium,2006,12,6.897419354838711,3.0
Belgium,2007,1,8.343548387096773,10.0
Belgium,2007,2,8.92607142857143,2.0
Belgium,2007,3,11.24516129032258,3.0
Belgium,2007,4,19.052666666666667,14.0
Belgium,2007,5,18.692903225806457,2.0
Belgium,2007,6,21.047999999999995,0.0
Belgium,2007,7,20.843870967741935,0.0
Belgium,2007,8,21.080000000000002,0.0
Belgium,2007,9,18.324999999999996,0.0
Belgium,2007,10,14.413870967741936,0.0
Belgium,2007,11,8.885,3.0
Belgium,2007,12,5.435806451612902,3.0
Belgium,2008,1,7.448709677419355,3.0
Belgium,2008,2,8.934137931034481,4.0
Belgium,2008,3,8.836451612903224,0.0
Belgium,2008,4,12.56666666666667,2.0
Belgium,2008,5,20.275483870967744,6.0
Belgium,2008,6,20.440333333333335,0.0
Belgium,2008,7,21.656774193548387,0.0
Belgium,2008,8,21.37161290322581,0.0
Belgium,2008,9,17.82833333333333,0.0
Belgium,2008,10,13.764516129032257,2.0
Belgium,2008,11,8.825666666666669,0.0
Belgium,2008,12,4.038709677419355,0.0
Belgium,2009,1,2.1638709677419348,0.0
Belgium,2009,2,5.09857142857143,0.0
Belgium,2009,3,10.240967741935485,0.0
Belgium,2009,4,16.39533333333333,2.0
Belgium,2009,5,18.360000000000003,2.0
Belgium,2009,6,20.25366666666667,2.0
Belgium,2009,7,22.080967741935485,0.0
Belgium,2009,8,23.557096774193543,2.0
Belgium,2009,9,20.212333333333337,2.0
Belgium,2009,10,14.886451612903226,0.0
Belgium,2009,11,11.324666666666669,4.0
Belgium,2009,12,3.6864516129032263,0.0
Belgium,2010,1,0.9370967741935482,0.0
Belgium,2010,2,4.236071428571429,0.0
Belgium,2010,3,9.69483870967742,4.0
Belgium,2010,4,14.575666666666669,5.0
Belgium,2010,5,15.466774193548387,2.0
Belgium,2010,6,21.288666666666664,3.0
Belgium,2010,7,24.213225806451614,6.0
Belgium,2010,8,20.896774193548385,0.0
Belgium,2010,9,18.306,0.0
Belgium,2010,10,14.480967741935487,7.0
Belgium,2010,11,8.299333333333333,3.0
Belgium,2010,12,-0.04838709677419354,0.0
Belgium,2011,1,4.836774193548388,2.0
Belgium,2011,2,7.25285714285714,0.0
Belgium,2011,3,11.527419354838708,4.0
Belgium,2011,4,18.22833333333333,13.0
Belgium,2011,5,18.876774193548385,2.0
Belgium,2011,6,20.694000000000003,3.0
Belgium,2011,7,20.094838709677422,0.0
Belgium,2011,8,21.653225806451612,0.0
Belgium,2011,9,20.929,5.0
Belgium,2011,10,16.086774193548386,5.0
Belgium,2011,11,11.712333333333333,8.0
Belgium,2011,12,7.612258064516133,0.0
Belgium,2012,1,6.886774193548385,3.0
Belgium,2012,2,3.3934482758620694,0.0
Belgium,2012,3,13.05258064516129,11.0
Belgium,2012,4,12.021666666666668,0.0
Belgium,2012,5,18.704193548387096,7.0
Belgium,2012,6,19.460333333333335,0.0
Belgium,2012,7,21.202903225806455,2.0
Belgium,2012,8,23.05806451612904,2.0
Belgium,2012,9,18.890666666666664,3.0
Belgium,2012,10,14.362580645161291,2.0
Belgium,2012,11,8.828,0.0
Belgium,2012,12,6.065806451612904,3.0
Belgium,2013,1,3.6448387096774195,2.0
Belgium,2013,2,3.5078571428571417,0.0
Belgium,2013,3,6.020000000000002,0.0
Belgium,2013,4,12.539666666666665,2.0
Belgium,2013,5,15.029677419354835,0.0
Belgium,2013,6,19.78533333333333,0.0
Belgium,2013,7,24.243548387096773,3.0
Belgium,2013,8,22.647741935483868,2.0
Belgium,2013,9,19.198666666666668,4.0
Belgium,2013,10,16.004516129032258,2.0
Belgium,2013,11,8.41,0.0
Belgium,2013,12,7.0683870967741935,0.0
Belgium,2014,1,7.0935483870967735,4.0
Belgium,2014,2,8.345714285714287,2.0
Belgium,2014,3,13.123870967741933,12.0
Belgium,2014,4,16.517999999999997,5.0
Belgium,2014,5,17.551935483870967,2.0
Belgium,2014,6,20.75466666666667,0.0
Belgium,2014,7,23.41806451612903,3.0
Belgium,2014,8,19.787419354838704,0.0
Belgium,2014,9,20.726333333333333,0.0
Belgium,2014,10,16.702903225806455,6.0
Belgium,2014,11,10.697333333333336,2.0
Belgium,2014,12,5.562580645161291,2.0
Belgium,2015,1,4.925483870967741,2.0
Belgium,2015,2,5.805714285714286,0.0
Belgium,2015,3,10.31225806451613,0.0
Belgium,2015,4,14.451,2.0
Belgium,2015,5,16.994193548387095,0.0
Belgium,2015,6,20.693666666666672,0.0
Belgium,2015,7,22.841935483870973,4.0
Belgium,2015,8,23.547741935483867,0.0
Belgium,2015,9,17.79933333333333,0.0
Belgium,2015,10,13.885806451612902,0.0
Belgium,2015,11,12.034999999999998,8.0
Belgium,2015,12,9.931612903225808,13.0
Belgium,2016,1,6.067096774193548,0.0
Belgium,2016,2,6.9110344827586205,0.0
Belgium,2016,3,9.006129032258064,0.0
Belgium,2016,4,12.544000000000004,0.0
Belgium,2016,5,18.393870967741933,0.0
Belgium,2016,6,20.53966666666667,2.0
Belgium,2016,7,22.469677419354838,2.0
Belgium,2016,8,22.681612903225805,5.0
Belgium,2016,9,22.045000000000005,7.0
Belgium,2016,10,14.11741935483871,0.0
Belgium,2016,11,8.398,0.0
